sexe;id_client;formation;usage_vehicule;type_vehicule;est_rouge;type_conduite;etat_dossier;formule;Année_naissance;Présence_enft_cond_accomp;Présence_enfants;Cat_revenus;Cat_valeur_res_princ;Cat_points_perdus;Cat_age_veh;Année date_demande;Cat_Tarif_devis
M;1FD0D0D2-578A;Bachelors;Commercial;Van;yes;z_Highly Rural/ Rural;complet;dev_integral;1971;non;oui;20-40k€;100-200K€;_0;5_10;2022;250_500
F;8FAB14B4-5914;Bachelors;Commercial;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1958;non;oui;60-80k€;200-400K€;3_6;5_10;2022;250_500
F;33F11E4B-506E;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1976;non;oui;80-100k€;200-400K€;_0;sup 15;2022;250_500
M;9297E720-4C58;Masters;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_integral;2006;non;non;40-60k€;_0;_0;10_15;2022;250_500
M;82E6F20E-21D6;Bachelors;Commercial;Pickup;yes;Highly Urban/ Urban;complet;dev_integral;1973;non;non;40-60k€;100-200K€;_0;5_10;2022;250_500
M;EA5E008D-E471;Masters;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1984;non;oui;sup 100k€;200-400K€;_0;5_10;2022;250_500
F;B3E4EF27-07AA;z_High School;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_express;1993;oui;oui;0-20k€;_0;0_3;5_10;2022;250_500
M;0CD59F9D-D1D3;Masters;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_express;1962;non;oui;sup 100k€;200-400K€;3_6;5_10;2022;250_500
M;A983663F-2BA8;z_High School;Commercial;Sports Car;no;Highly Urban/ Urban;complet;dev_integral;1942;non;oui;40-60k€;100-200K€;_0;0_5;2022;250_500
M;61763091-352D;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1988;non;non;60-80k€;200-400K€;6_9;0_5;2022;250_500
M;657E2708-0940;z_High School;Commercial;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1949;non;non;20-40k€;100-200K€;0_3;0_5;2022;250_500
M;60BFDF8C-DFE6;z_High School;Commercial;Van;yes;Highly Urban/ Urban;complet;dev_integral;1968;non;non;sup 100k€;_0;0_3;5_10;2022;250_500
M;A112B05D-1833;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_premium;1968;non;non;sup 100k€;200-400K€;0_3;;2022;250_500
F;5465AD31-FD6B;Masters;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_express;2000;non;non;60-80k€;;sup 9;10_15;2022;250_500
F;19097DDB-E3DF;Bachelors;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_integral;2003;non;oui;sup 100k€;200-400K€;0_3;0_5;2022;250_500
F;E322219E-014D;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_express;1942;non;non;0-20k€;0-100K€;_0;5_10;2022;250_500
M;5B135FD3-C21F;z_High School;Private;Sports Car;no;z_Highly Rural/ Rural;complet;dev_integral;1988;non;non;0-20k€;100-200K€;_0;0_5;2022;250_500
F;A8435B90-45DA;Bachelors;Private;Minivan;no;Highly Urban/ Urban;complet;dev_vip;1936;oui;oui;sup 100k€;200-400K€;3_6;5_10;2022;500_750
M;D13308C9-0684;Masters;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_integral;1994;non;non;40-60k€;100-200K€;_0;10_15;2022;250_500
M;0FE34182-D4D7;Bachelors;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1956;non;oui;80-100k€;200-400K€;0_3;0_5;2022;250_500
F;A122ED20-98A4;PhD;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_integral;1941;non;non;sup 100k€;_0;6_9;sup 15;2022;250_500
M;6B0561B1-2F77;Bachelors;Commercial;Panel Truck;no;z_Highly Rural/ Rural;complet;dev_integral;1943;non;oui;80-100k€;200-400K€;_0;0_5;2022;250_500
F;17D33928-C326;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_express;1974;non;oui;60-80k€;;0_3;sup 15;2022;250_500
F;61945A9A-3788;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1970;non;non;;100-200K€;_0;sup 15;2022;250_500
M;10EF0C1E-21A8;Masters;Commercial;Panel Truck;yes;Highly Urban/ Urban;complet;dev_integral;1993;non;oui;sup 100k€;_0;_0;sup 15;2022;250_500
M;DB089A15-F3D9;Masters;Private;Pickup;yes;Highly Urban/ Urban;complet;dev_express;2018;non;oui;20-40k€;100-200K€;_0;sup 15;2022;250_500
F;1EFE8402-54AB;z_High School;Commercial;Pickup;yes;z_Highly Rural/ Rural;complet;dev_integral;1971;non;non;60-80k€;200-400K€;0_3;10_15;2022;250_500
F;1BEF61AE-B9AD;Bachelors;Private;Van;no;Highly Urban/ Urban;complet;dev_express;1966;non;non;40-60k€;200-400K€;0_3;10_15;2022;250_500
M;12BC643A-13F8;z_High School;Commercial;z_SUV;no;z_Highly Rural/ Rural;complet;dev_premium;1951;non;oui;20-40k€;100-200K€;_0;5_10;2022;250_500
M;6E0FFC01-AFAA;Bachelors;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_express;2004;non;oui;40-60k€;_0;0_3;0_5;2022;250_500
F;043052C8-6252;z_High School;Private;Minivan;no;z_Highly Rural/ Rural;complet;dev_premium;1969;non;oui;40-60k€;_0;_0;0_5;2022;500_750
M;19C201DD-E7B9;<High School;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1998;non;oui;0-20k€;;0_3;0_5;2022;250_500
M;EAAD5FC3-1C21;<High School;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_integral;1960;non;oui;;_0;0_3;;2022;250_500
F;842AD6BD-62E0;<High School;Private;Minivan;yes;z_Highly Rural/ Rural;complet;dev_integral;1983;non;oui;20-40k€;100-200K€;3_6;5_10;2022;250_500
F;AAA48E5B-7464;PhD;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1961;non;non;sup 100k€;200-400K€;_0;5_10;2022;250_500
F;106AD950-28B2;z_High School;Private;Minivan;no;z_Highly Rural/ Rural;complet;dev_express;1954;non;non;20-40k€;_0;_0;5_10;2022;250_500
M;953BC960-0F7F;Bachelors;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_premium;2014;non;oui;40-60k€;_0;_0;10_15;2022;250_500
F;F0C3CE3C-2359;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1989;oui;oui;0-20k€;0-100K€;_0;5_10;2022;250_500
M;8FE2AC4E-FFCF;Masters;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_integral;1963;non;non;;100-200K€;_0;;2022;250_500
M;66E423AE-2E4A;<High School;Commercial;Panel Truck;no;z_Highly Rural/ Rural;complet;dev_integral;1938;non;non;40-60k€;;0_3;5_10;2022;250_500
F;5AEF8E2D-328A;<High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1973;non;oui;0-20k€;_0;0_3;0_5;2022;250_500
F;EB6D4AF3-90FF;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1972;non;non;20-40k€;_0;0_3;;2022;250_500
M;64EF81FA-E2CF;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1978;non;oui;20-40k€;100-200K€;0_3;5_10;2022;250_500
F;D98A813F-677D;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_premium;1955;non;oui;20-40k€;100-200K€;_0;10_15;2022;250_500
M;32020170-21A2;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;2002;non;oui;60-80k€;200-400K€;_0;sup 15;2022;250_500
M;6E0BED9C-7905;z_High School;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_integral;1952;oui;oui;40-60k€;100-200K€;0_3;5_10;2022;250_500
F;15A90786-F482;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1967;non;non;80-100k€;200-400K€;_0;;2022;250_500
M;87C9847F-7128;PhD;Private;Minivan;no;Highly Urban/ Urban;complet;dev_express;2011;non;oui;sup 100k€;200-400K€;0_3;sup 15;2022;250_500
M;864B373D-8951;z_High School;Commercial;Van;yes;Highly Urban/ Urban;complet;dev_express;1945;non;non;40-60k€;100-200K€;0_3;5_10;2022;250_500
M;98A52E46-8744;PhD;Commercial;Van;no;Highly Urban/ Urban;complet;dev_integral;1955;non;non;sup 100k€;_0;0_3;sup 15;2022;250_500
M;33C7DFA1-CF4C;Masters;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_premium;1949;non;non;sup 100k€;sup 400K€;_0;10_15;2022;250_500
M;13798373-E94F;z_High School;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;2012;non;oui;60-80k€;100-200K€;_0;10_15;2022;250_500
F;D2B0CCFE-974E;z_High School;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1957;non;oui;20-40k€;100-200K€;0_3;0_5;2022;250_500
M;BA066F84-61D0;PhD;Private;Minivan;no;Highly Urban/ Urban;complet;dev_express;2010;non;non;sup 100k€;_0;3_6;sup 15;2022;250_500
F;95895978-89BA;Bachelors;Private;Pickup;no;Highly Urban/ Urban;complet;dev_integral;1933;non;non;;100-200K€;_0;10_15;2022;250_500
M;B123F64E-CE29;<High School;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_express;1983;non;non;20-40k€;_0;_0;0_5;2022;250_500
M;F4908CF5-B469;Masters;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_express;1950;non;oui;sup 100k€;_0;_0;sup 15;2022;250_500
F;BAF1E875-5E51;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1981;oui;oui;sup 100k€;200-400K€;_0;10_15;2022;250_500
F;B2E94CC2-A5DD;Masters;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_integral;1985;non;non;;200-400K€;0_3;10_15;2022;250_500
F;2A81AEB5-7945;z_High School;Commercial;Minivan;no;Highly Urban/ Urban;complet;dev_express;1979;non;non;0-20k€;_0;0_3;10_15;2022;250_500
M;7B35610B-621C;Bachelors;Commercial;Panel Truck;yes;Highly Urban/ Urban;complet;dev_express;1975;non;non;sup 100k€;200-400K€;0_3;5_10;2022;250_500
F;43548233-BF47;PhD;Private;Van;yes;Highly Urban/ Urban;complet;dev_express;1951;non;non;sup 100k€;200-400K€;_0;0_5;2022;250_500
M;0D64D602-5511;z_High School;Commercial;Pickup;yes;Highly Urban/ Urban;complet;dev_express;1945;non;non;20-40k€;100-200K€;0_3;5_10;2022;250_500
F;731639E8-A572;z_High School;Commercial;Pickup;no;Highly Urban/ Urban;complet;dev_premium;1985;oui;oui;60-80k€;100-200K€;0_3;5_10;2022;250_500
M;8B43EAF5-58BC;Bachelors;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_premium;1931;non;non;0-20k€;_0;_0;sup 15;2022;250_500
M;352E74A7-0C67;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1945;non;non;0-20k€;100-200K€;0_3;5_10;2022;250_500
M;10BE97E1-684B;Bachelors;Commercial;Minivan;no;z_Highly Rural/ Rural;complet;dev_integral;1951;oui;oui;80-100k€;_0;_0;5_10;2022;250_500
F;82EE85BF-4BE4;z_High School;Commercial;Sports Car;no;Highly Urban/ Urban;complet;dev_integral;2009;non;non;;200-400K€;6_9;0_5;2022;250_500
M;132D6CB6-F099;Masters;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_integral;2019;non;non;sup 100k€;;_0;0_5;2022;250_500
M;CAF38864-3240;<High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1934;non;oui;0-20k€;_0;6_9;0_5;2022;250_500
M;E124B16A-73A8;PhD;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_express;1958;non;non;sup 100k€;_0;_0;sup 15;2022;250_500
M;64D26E6A-4264;PhD;Commercial;Panel Truck;yes;Highly Urban/ Urban;complet;dev_express;1964;non;non;sup 100k€;_0;3_6;sup 15;2022;250_500
F;64CE14AA-F380;z_High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;2019;non;oui;40-60k€;_0;_0;5_10;2022;250_500
F;6DDD614E-0BEE;z_High School;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;2002;non;oui;60-80k€;200-400K€;_0;5_10;2022;250_500
M;B94A9D22-982A;z_High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_premium;2013;non;oui;60-80k€;200-400K€;0_3;5_10;2022;250_500
M;D5B97540-8DD3;PhD;Commercial;Van;yes;Highly Urban/ Urban;complet;dev_premium;1983;non;non;;200-400K€;0_3;10_15;2022;250_500
F;28A3FB0F-4F94;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_premium;1960;non;non;0-20k€;0-100K€;_0;0_5;2022;250_500
M;C3741736-C13E;<High School;Commercial;Van;yes;Highly Urban/ Urban;complet;dev_integral;1959;non;oui;20-40k€;100-200K€;0_3;0_5;2022;250_500
M;5138DA33-109E;Bachelors;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_express;1973;non;non;sup 100k€;200-400K€;_0;10_15;2022;250_500
F;8980702A-0883;Masters;Private;Pickup;no;Highly Urban/ Urban;complet;dev_premium;1942;non;non;80-100k€;200-400K€;_0;;2022;250_500
F;6F3671C1-18B5;Bachelors;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_premium;2014;non;non;0-20k€;0-100K€;0_3;sup 15;2022;250_500
M;CE07B9ED-74C5;Masters;Commercial;Pickup;no;Highly Urban/ Urban;complet;dev_integral;1946;non;non;80-100k€;_0;_0;sup 15;2022;250_500
F;911CB76F-9786;Masters;Private;Pickup;no;Highly Urban/ Urban;complet;dev_express;1967;non;non;20-40k€;100-200K€;_0;;2022;250_500
M;DAA7F60A-3581;<High School;Private;Pickup;no;Highly Urban/ Urban;complet;dev_integral;1972;non;non;0-20k€;_0;0_3;0_5;2022;250_500
F;1B4D07E3-A574;<High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1985;non;oui;0-20k€;_0;6_9;0_5;2022;250_500
M;561E7448-8AD1;z_High School;Private;Pickup;no;Highly Urban/ Urban;complet;dev_express;1950;non;non;0-20k€;100-200K€;3_6;0_5;2022;250_500
F;85D8D973-7806;<High School;Commercial;Panel Truck;yes;Highly Urban/ Urban;complet;dev_integral;1987;non;oui;;0-100K€;_0;0_5;2022;250_500
M;3908C176-F5EE;z_High School;Commercial;Pickup;yes;Highly Urban/ Urban;complet;dev_integral;1954;oui;oui;20-40k€;100-200K€;3_6;0_5;2022;250_500
M;3AC8DAE2-839B;Masters;Private;Van;no;Highly Urban/ Urban;complet;dev_integral;2007;non;non;80-100k€;_0;sup 9;sup 15;2022;250_500
M;E6459A98-B093;z_High School;Private;Minivan;no;z_Highly Rural/ Rural;complet;dev_integral;1957;non;non;0-20k€;100-200K€;0_3;0_5;2022;250_500
M;CBCF21D3-8CA5;Bachelors;Commercial;Minivan;yes;Highly Urban/ Urban;complet;dev_integral;1940;non;non;80-100k€;;3_6;5_10;2022;250_500
F;B44D42E5-5696;Masters;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_express;1934;non;non;80-100k€;;_0;10_15;2022;250_500
M;DF8F1AB0-4C8A;Bachelors;Commercial;z_SUV;no;z_Highly Rural/ Rural;complet;dev_premium;1976;non;non;80-100k€;_0;0_3;5_10;2022;250_500
M;4CC2CFED-D5BD;<High School;Commercial;Minivan;no;Highly Urban/ Urban;complet;dev_premium;1981;oui;oui;20-40k€;100-200K€;_0;0_5;2022;500_750
F;34C7FDF5-18CA;z_High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1964;non;non;60-80k€;200-400K€;0_3;0_5;2022;250_500
F;BE2FFFB0-7846;Masters;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_express;1960;non;non;sup 100k€;200-400K€;3_6;sup 15;2022;250_500
F;0404111E-A25B;Bachelors;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_integral;1952;oui;oui;40-60k€;100-200K€;3_6;10_15;2022;250_500
F;D16A0AAE-3371;z_High School;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1975;non;non;20-40k€;100-200K€;0_3;0_5;2022;250_500
M;637826C1-61DA;Bachelors;Commercial;Panel Truck;yes;z_Highly Rural/ Rural;complet;dev_vip;2003;non;non;60-80k€;200-400K€;0_3;0_5;2022;sup 750
F;CE0CC542-A191;Bachelors;Commercial;Pickup;yes;Highly Urban/ Urban;complet;dev_integral;1931;non;non;;100-200K€;_0;sup 15;2022;250_500
F;152D1A2F-F42D;PhD;Private;Minivan;no;Highly Urban/ Urban;complet;dev_express;2014;non;non;20-40k€;100-200K€;_0;10_15;2022;250_500
F;BBBFA3C7-78A9;z_High School;Commercial;Panel Truck;yes;Highly Urban/ Urban;complet;dev_integral;1950;non;non;40-60k€;100-200K€;3_6;;2022;250_500
F;B9A6C872-0DBD;z_High School;Commercial;Pickup;yes;Highly Urban/ Urban;complet;dev_express;1965;non;non;0-20k€;_0;_0;0_5;2022;250_500
F;0803BBE8-DB49;Bachelors;Commercial;Pickup;no;Highly Urban/ Urban;complet;dev_express;1940;non;non;80-100k€;_0;0_3;10_15;2022;250_500
F;708E76CD-22E8;z_High School;Private;Van;yes;Highly Urban/ Urban;complet;dev_integral;1964;non;oui;40-60k€;200-400K€;_0;10_15;2022;250_500
M;DE90A296-27AE;z_High School;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_premium;1944;non;oui;0-20k€;;0_3;5_10;2022;250_500
F;9EFBD8D8-4BA3;Bachelors;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_integral;1963;non;oui;0-20k€;0-100K€;_0;5_10;2022;250_500
F;C8D2E54F-CC07;z_High School;Commercial;Pickup;yes;Highly Urban/ Urban;complet;dev_premium;1994;non;non;0-20k€;_0;_0;0_5;2022;250_500
F;B91D152C-C0A8;PhD;Private;Pickup;no;Highly Urban/ Urban;complet;dev_integral;1951;non;non;;200-400K€;_0;;2022;250_500
F;4C4CD89C-2932;Masters;Commercial;Pickup;yes;Highly Urban/ Urban;complet;dev_integral;1973;non;non;20-40k€;100-200K€;_0;sup 15;2022;250_500
F;BEC91916-47C1;Bachelors;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1936;non;oui;40-60k€;100-200K€;_0;5_10;2022;250_500
M;A50A419A-5945;PhD;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1950;non;non;0-20k€;100-200K€;0_3;10_15;2022;250_500
F;FA263482-A708;z_High School;Commercial;Pickup;yes;Highly Urban/ Urban;complet;dev_integral;1943;non;non;sup 100k€;_0;0_3;0_5;2022;250_500
M;33A2F4AF-1A9B;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1975;non;oui;80-100k€;200-400K€;3_6;5_10;2022;250_500
M;8C347349-A400;<High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1959;non;oui;0-20k€;100-200K€;0_3;5_10;2022;250_500
F;253B2A45-BCF2;<High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1954;oui;oui;0-20k€;100-200K€;0_3;0_5;2022;250_500
F;CC747943-CD84;Masters;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_express;1940;non;oui;60-80k€;_0;_0;10_15;2022;250_500
M;DB6C3DE4-95AC;<High School;Commercial;Pickup;yes;Highly Urban/ Urban;complet;dev_express;1995;non;non;;200-400K€;6_9;0_5;2022;250_500
F;D61997A1-74EE;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1932;non;oui;0-20k€;0-100K€;0_3;5_10;2022;250_500
F;BAB7F962-1831;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_premium;1971;non;non;sup 100k€;200-400K€;_0;sup 15;2022;250_500
M;E9F7A3E1-9973;Bachelors;Commercial;Van;no;Highly Urban/ Urban;complet;dev_express;1985;non;non;60-80k€;_0;_0;0_5;2022;250_500
F;04C7E3E8-ACCC;z_High School;Commercial;Minivan;no;Highly Urban/ Urban;complet;dev_express;1999;non;oui;40-60k€;100-200K€;_0;5_10;2022;250_500
F;D3488C6E-2165;PhD;Commercial;Pickup;no;Highly Urban/ Urban;complet;dev_integral;1987;non;non;80-100k€;200-400K€;_0;;2022;250_500
F;1B07B8FC-8F98;z_High School;Commercial;Van;yes;Highly Urban/ Urban;complet;dev_integral;1971;non;non;60-80k€;_0;3_6;0_5;2022;250_500
F;7EF99FD1-1B64;Bachelors;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_premium;1987;non;oui;0-20k€;100-200K€;0_3;5_10;2022;250_500
M;D69976A9-8F26;Masters;Private;Pickup;yes;Highly Urban/ Urban;complet;dev_integral;1996;non;non;sup 100k€;sup 400K€;_0;0_5;2022;250_500
M;B89D1CA5-CDB7;Bachelors;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_integral;1987;oui;oui;80-100k€;200-400K€;0_3;0_5;2022;250_500
M;B49C3715-043B;Bachelors;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_premium;1965;non;non;0-20k€;100-200K€;_0;5_10;2022;250_500
M;A77BB03A-B3C1;Bachelors;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_express;1976;non;non;60-80k€;200-400K€;0_3;0_5;2022;250_500
M;34761D96-5F16;Bachelors;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_express;1990;non;non;80-100k€;200-400K€;_0;10_15;2022;250_500
F;F4CA9A29-33FC;Bachelors;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1965;non;non;40-60k€;100-200K€;0_3;10_15;2022;250_500
M;B1779EC2-4EEA;<High School;Commercial;Pickup;no;z_Highly Rural/ Rural;complet;dev_integral;1949;oui;oui;0-20k€;100-200K€;_0;0_5;2022;250_500
M;65BD2D6F-6019;Bachelors;Commercial;Pickup;yes;z_Highly Rural/ Rural;complet;dev_express;1937;non;non;60-80k€;200-400K€;0_3;10_15;2022;250_500
F;D9B81F0C-01D4;Masters;Commercial;Van;yes;Highly Urban/ Urban;complet;dev_express;2022;oui;oui;sup 100k€;_0;_0;;2022;250_500
F;00A39B94-9B03;Masters;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_premium;2012;non;non;80-100k€;_0;0_3;;2022;250_500
F;12672640-1359;<High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;2004;non;non;20-40k€;100-200K€;0_3;5_10;2022;250_500
F;821A981E-1305;<High School;Commercial;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1966;oui;oui;0-20k€;100-200K€;3_6;0_5;2022;250_500
F;331CDEE0-5E27;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1968;non;oui;0-20k€;_0;6_9;5_10;2022;250_500
M;51CB5B27-857A;<High School;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_express;1995;non;non;80-100k€;_0;0_3;5_10;2022;250_500
M;3E61CCFF-CDA5;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_premium;2000;non;oui;20-40k€;100-200K€;6_9;0_5;2022;250_500
F;8205C79F-0D9C;Masters;Private;Pickup;no;Highly Urban/ Urban;complet;dev_integral;2017;non;oui;40-60k€;200-400K€;0_3;5_10;2022;250_500
M;53AE6982-37D9;<High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1966;non;non;0-20k€;_0;0_3;0_5;2022;250_500
F;5587404F-64A9;<High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;2002;non;oui;0-20k€;0-100K€;6_9;0_5;2022;250_500
F;54CEAF90-4D3B;<High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1947;non;non;0-20k€;_0;0_3;5_10;2022;250_500
M;8A7257B0-8963;Masters;Commercial;Panel Truck;yes;Highly Urban/ Urban;complet;dev_integral;1995;non;non;sup 100k€;_0;_0;sup 15;2022;250_500
M;5AD6386F-4FC7;PhD;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1994;non;non;sup 100k€;200-400K€;_0;10_15;2022;250_500
F;3781E712-F44E;z_High School;Commercial;Pickup;yes;Highly Urban/ Urban;complet;dev_express;1955;non;non;40-60k€;100-200K€;0_3;5_10;2022;250_500
F;FC1BD6C6-C59C;<High School;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_integral;1952;non;non;20-40k€;_0;_0;0_5;2022;250_500
F;7636151C-8566;z_High School;Private;Van;yes;Highly Urban/ Urban;complet;dev_express;1956;non;oui;0-20k€;;3_6;0_5;2022;250_500
F;3CAC03CD-08ED;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1999;non;oui;60-80k€;_0;_0;;2022;250_500
F;AEA2CE19-AD4F;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_premium;1971;oui;oui;60-80k€;200-400K€;0_3;5_10;2022;250_500
F;D24036DF-17EC;Masters;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_integral;1952;non;non;sup 100k€;200-400K€;0_3;5_10;2022;250_500
F;1A0B1AC9-21F8;<High School;Private;Minivan;no;z_Highly Rural/ Rural;complet;dev_integral;2019;non;non;0-20k€;100-200K€;_0;0_5;2022;250_500
F;83DF853B-2815;<High School;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_integral;2001;oui;oui;20-40k€;100-200K€;0_3;0_5;2022;250_500
M;841E7B65-D14C;z_High School;Commercial;z_SUV;no;z_Highly Rural/ Rural;complet;dev_premium;1963;non;non;20-40k€;100-200K€;_0;0_5;2022;250_500
M;BCA963C1-7292;z_High School;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_express;2015;non;oui;20-40k€;100-200K€;3_6;5_10;2022;250_500
M;E7B1C33B-72CA;z_High School;Commercial;Minivan;no;Highly Urban/ Urban;complet;dev_express;1995;non;oui;20-40k€;_0;_0;5_10;2022;250_500
F;C6C357FF-01CD;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1965;oui;oui;60-80k€;200-400K€;0_3;5_10;2022;250_500
M;20EA6A53-1E11;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1949;non;oui;60-80k€;100-200K€;0_3;5_10;2022;250_500
F;E8419551-5224;z_High School;Commercial;Pickup;yes;z_Highly Rural/ Rural;complet;dev_integral;1948;non;non;0-20k€;_0;0_3;10_15;2022;250_500
M;68C8FD5D-D7BF;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1973;non;non;20-40k€;100-200K€;3_6;0_5;2022;250_500
F;7F89B0B0-009B;Masters;Commercial;Panel Truck;yes;Highly Urban/ Urban;complet;dev_premium;2015;non;non;sup 100k€;200-400K€;3_6;5_10;2022;500_750
F;32430100-E378;<High School;Private;Minivan;no;z_Highly Rural/ Rural;complet;dev_premium;2002;non;non;20-40k€;100-200K€;0_3;;2022;250_500
F;3BE3A19A-8DA5;Bachelors;Commercial;Van;yes;Highly Urban/ Urban;complet;dev_integral;1951;non;non;80-100k€;200-400K€;0_3;10_15;2022;250_500
M;3C1A6AA1-33B9;<High School;Commercial;Pickup;yes;Highly Urban/ Urban;complet;dev_integral;2010;oui;oui;0-20k€;100-200K€;0_3;0_5;2022;250_500
M;411A3C20-1B7C;PhD;Private;Pickup;no;Highly Urban/ Urban;complet;dev_integral;1974;non;non;sup 100k€;_0;_0;sup 15;2022;250_500
M;70A58691-FA91;PhD;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_integral;1931;non;non;0-20k€;;0_3;5_10;2022;250_500
